Protocols,Amount_Borrowed_USD,Total_Collateral_USD,LTV_Ratio
Compound V2 Ethereum,42295106.95651911,69650491.49550605,0.6072477889010741
Aave V3 Ethereum,9653886.316913754,19876409.747374058,0.4856956784254844
Abracadbra Money Ethereum,22461342.320941545,33018504.391098075,0.6802652856377472
Aave V2 Ethereum,295321796.23129267,561265711.5271032,0.5261710989395292
Cream Finance Ethereum,153677285.82382828,262930941.84445715,0.5844777520126925
